Entidad,Municipio,Numero de robos,% Vehiculos recuperados,Porcentaje de violencia
Jalisco,Guadalajara,6324,35.64199873,56.26185958
Estado de Mexico,Ecatepec De Morelos,5379,31.4556609,83.69585425
Puebla,Puebla,2380,47.64705882,68.99159664
Jalisco,Zapopan,2269,12.86910533,52.3578669
Estado de Mexico,Tlalnepantla De Baz,2151,13.0172013,69.73500697
Guanajuato,Celaya,2146,56.80335508,81.54706431
Sinaloa,Culiacan,1825,29.64383562,79.50684932
Estado de Mexico,Naucalpan De Juarez,1599,13.63352095,69.91869919
Distrito Federal,Iztapalapa,1440,13.125,55.20833333
Distrito Federal,Gustavo A. Madero,1339,15.75802838,62.73338312
