Rango de Edad,Genero,Monto Pagado
85 y mas,MUJER,502877728.1
85 y mas,HOMBRE,864429751.4
80-84,HOMBRE,1308162649
80-84,MUJER,873434204.6
75-79,MUJER,1399254714
75-79,HOMBRE,2060199790
70-74,MUJER,2104215086
70-74,HOMBRE,2639283933
65-69,MUJER,2354035626
65-69,HOMBRE,2918984143
60-64,HOMBRE,2715466202
60-64,MUJER,2400439037
55-59,MUJER,2420683987
55-59,HOMBRE,2488690847
50-54,HOMBRE,2026693178
50-54,MUJER,1962219695
45-49,MUJER,1955445577
45-49,HOMBRE,1875484587
40-44,MUJER,1612757515
40-44,HOMBRE,1347218826
35-39,HOMBRE,1097866433
35-39,MUJER,1106434813
30-34,MUJER,885003536.6
30-34,HOMBRE,970839952.9
25-29,MUJER,571983729.5
25-29,HOMBRE,624455590
20-24,MUJER,385180870.1
20-24,HOMBRE,690765187
15-19,HOMBRE,646902117.9
15-19,MUJER,575663423.4
10-14,MUJER,437469151.2
10-14,HOMBRE,592145418
5-9,MUJER,482582545.5
5-9,HOMBRE,518897703.2
0-4,MUJER,880355507.3
0-4,HOMBRE,1223558128
