Entidad,Vehiculos Robados ,Automoviles ,Equipo Pesado ,Motocicletas ,Otros,Pick Up ,Total
Aguascalientes,553,215,189,59,1,89,1106
Baja California,1916,1515,15,125,0,261,3832
Baja California Sur,123,87,3,17,0,16,246
Campeche,153,80,19,35,0,19,306
Chiapas,731,334,54,131,0,212,1462
Chihuahua,1254,805,48,38,0,363,2508
Coahuila,562,308,121,43,0,90,1124
Colima,214,76,56,51,0,31,428
Distrito Federal,9264,6737,418,1188,7,914,18528
Durango,242,97,65,16,2,62,484
Estado de Mexico,22658,16450,2118,1402,0,2684,45312
Guanajuato,5027,2316,956,513,0,1242,10054
Guerrero,1071,683,30,110,1,247,2142
Hidalgo,1045,372,424,58,1,190,2090
Jalisco,12280,8342,668,699,3,2568,24560
Michoacan,2678,1102,397,195,1,983,5356
Morelos,1416,994,64,182,0,176,2832
Nayarit,158,83,16,30,3,29,319
Nuevo Leon,2658,1582,528,134,0,411,5313
Oaxaca,645,223,145,109,1,167,1290
Puebla,5156,2253,1423,272,3,1205,10312
Queretaro,1586,810,400,89,2,285,3172
Quintana Roo,775,507,11,201,0,56,1550
San Luis Potosi,1187,658,232,120,1,176,2374
Sinaloa,2451,1382,70,433,1,565,4902
Sonora,684,416,17,81,1,169,1368
Tabasco,2132,910,207,426,3,586,4264
Tamaulipas,848,497,139,35,0,177,1696
Tlaxcala,748,262,271,34,1,180,1496
Veracruz,3507,1245,1315,267,4,676,7014
Yucatan,206,133,31,22,0,20,412
Zacatecas,255,111,89,12,0,43,510
