Marca,Numero de robos,Porcentaje de Violencia
Nissan,20289,46.81354429
General Motors,10638,57.88682083
Volkswagen,7667,73.92722056
Honda,4871,61.97905974
Ford,4701,69.70857264
Toyota,3868,75.9565667
Semirremolques,3696,68.50649351
Chrysler,3587,59.15807081
Italika,2851,33.07611364
Kenworth,2594,63.56977641
Mazda,2118,77.38432483
Kia,2026,82.1816387
Yamaha,1285,42.80155642
Freightliner,1231,67.99350122
International,1150,64.86956522
Seat,1134,82.18694885
Hyundai,1122,80.83778966
Bmw,978,69.93865031
Renault,750,68.8
Mercedes Benz,738,82.92682927
Audi,635,79.52755906
Suzuki,601,67.88685524
Mercedes Benz Y Freighliner,562,59.60854093
Bajaj,497,39.23541247
Mitsubishi,452,70.79646018
Isuzu,447,83.22147651
Fronterizos,375,23.46666667
Armado,359,56.545961
Volvo,294,61.56462585
