Tipo de vehi­culo,Marca,Submarca,Numero de robos,% de violencia
Automoviles,Nissan,Tsuru,3968,20.53931452
Automoviles,Nissan,Versa,3909,55.97339473
Automoviles,General Motors,Aveo,2987,60.62939404
Motocicletas,Italika,111-250,2823,32.90825363
Comercial,Nissan,Np300,2745,57.74134791
Equipo pesado,Kenworth,Kenworth,2318,64.49525453
Automoviles,Volkswagen,Vento,2176,84.00735294
Automoviles,Nissan,Sentra,1827,43.62342638
Comercial,Nissan,Pick-Up Cortolargodobleking,1760,35.90909091
Automoviles,Volkswagen,Jetta Y Clasico,1499,75.25016678
Automoviles,Honda,Crv,1469,69.16269571
Automoviles,General Motors,Beat,1352,60.28106509
Automoviles,Nissan,March,1335,56.92883895
Equipo pesado,Freightliner,Freightliner,1231,67.99350122
Motocicletas,Honda,111-250,1207,48.55012428
Comercial,Nissan,Estacas Cortolargo Chasis,1148,41.72473868
Motocicletas,Yamaha,111-250,944,45.65677966
Comercial,Ford,F-350f450f550 Estacaschasis Cab,893,71.2206047
Automoviles,General Motors,Spark,844,63.98104265
Equipo pesado,International,International,828,66.18357488
Comercial,Toyota,Hilux Pick Up,776,81.05670103
Equipo pesado,Semirremolques,Caja Seca,737,79.37584803
Comercial,Nissan,Frontier Pick Up,728,58.1043956
Automoviles,Nissan,Xtrail,718,78.83008357
Automoviles,Kia,Sportage,688,87.20930233
Automoviles,General Motors,Sonic,685,70.51094891
Automoviles,Volkswagen,Gol,665,73.38345865
Automoviles,Mazda,3,659,73.59635812
Automoviles,Seat,Ibiza,648,82.40740741
Automoviles,Mazda,Cx5,617,85.57536467
